"Cuntrycd","Stkcd","Stknme","Conme","Conme_en","Indcd","Indnme","Nindcd","Nindnme","Nnindcd","Nnindnme","Estbdt","Listdt","Favaldt","Curtrd","Ipoprm","Ipoprc","Ipocur","Nshripo","Parvcur","Ipodt","Parval","Sctcd","Statco","Crcd","Statdt","Commnt","Markettype","PROVINCE","PROVINCECODE","CITY","CITYCODE","OWNERSHIPTYPE","OWNERSHIPTYPECODE"
"10","000001","平安银行","平安银行股份有限公司","Ping An Bank Co., Ltd.","0001","金融","I01","银行业","J66","货币金融服务","1987-12-22","1991-04-03","1991-04-03","CNY","20.0000","40.0000","CNY","350","CNY","1989-03-10","20.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","私营企业","P0306"
"10","000002","万科A","万科企业股份有限公司","China Vanke Co., Ltd.","0003","房地产","J","房地产业","K70","房地产业","1988-11-01","1991-01-29","1991-01-29","CNY","0.0000","1.0000","CNY","28000","CNY","1988-12-28","1.000","2","A","","2021-08-27","02202","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000003","PT 金田A","金田实业(集团)股份有限公司","Gintian Industry (Group) Co., Ltd.","0004","综合","M","综合类","S90","综合","1988-02-08","1991-07-03","1991-07-03","CNY","9.0000","10.0000","CNY","452","CNY","1989-02-28","1.000","2","D","","2002-06-14","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000004","国华网安","深圳国华网安科技股份有限公司","Shenzhen Cau Technology Co., Ltd.","0002","公用事业","G87","计算机应用服务业","I65","软件和信息技术服务业","1986-05-05","1991-01-14","1991-01-14","CNY","0.0000","1.0000","CNY","12500","CNY","1989-12-23","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","私营企业","P0306"
"10","000005","ST 星源","深圳世纪星源股份有限公司","Shenzhen Fountain Corporation","0002","公用事业","K99","其他社会服务业","N77","生态保护和环境治理业","1990-02-01","1990-12-10","1990-12-10","CNY","9.0000","10.0000","CNY","44339","CNY","1990-03-03","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","中外合资","P0303"
"10","000006","深振业A","深圳市振业(集团)股份有限公司","Shenzhen Zhenye (Group) Co., Ltd.","0003","房地产","J","房地产业","K70","房地产业","1989-04-01","1992-04-27","1992-04-27","CNY","9.0000","10.0000","CNY","690","CNY","1989-08-01","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000007","*ST 全新","深圳市全新好股份有限公司","Shenzhen Quanxinhao Co., Ltd.","0003","房地产","J","房地产业","K70","房地产业","1988-11-21","1992-04-13","1992-04-13","CNY","0.0000","1.0000","CNY","8400","CNY","1988-12-01","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","私营企业","P0306"
"10","000008","神州高铁","神州高铁技术股份有限公司","China High-Speed Railway Technology Co., Ltd.","0005","工业","C75","交通运输设备制造业","C37","铁路、船舶、航空航天和其它运输设备制造业","1989-10-11","1992-05-07","1992-05-07","CNY","9.0000","10.0000","CNY","1000","CNY","1989-10-01","1.000","2","A","","2021-08-27","","4","北京市","110000","北京市","110000","私营企业","P0306"
"10","000009","中国宝安","中国宝安集团股份有限公司","China Baoan Group Co., Ltd.","0004","综合","M","综合类","S90","综合","1990-09-01","1991-06-25","1991-06-25","CNY","2.0000","3.0000","CNY","60000","CNY","1991-06-14","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000010","美丽生态","深圳美丽生态股份有限公司","Shenzhen Ecobeauty Co., Ltd.","0003","房地产","E01","土木工程建筑业","E48","土木工程建筑业","1988-12-13","1995-10-27","1995-10-27","CNY","0.0000","1.0000","CNY","16999","CNY","1993-06-01","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","私营企业","P0306"
"10","000011","深物业A","深圳市物业发展(集团)股份有限公司","Shenzhen Property Development (Group) Co., Ltd.","0003","房地产","J","房地产业","K70","房地产业","1983-01-17","1992-03-30","1992-03-30","CNY","2.6000","3.6000","CNY","41500","CNY","1991-10-01","1.000","2","A","200011","2021-08-27","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000012","南玻A","中国南玻集团股份有限公司","CSG Holding Co., Ltd.","0005","工业","C61","非金属矿物制品业","C30","非金属矿物制品业","1984-09-10","1992-02-28","1992-02-28","CNY","2.3800","3.3800","CNY","20300","CNY","1991-12-03","1.000","2","A","200012","2021-08-27","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000013","*ST 石化A","深圳石化工业集团股份有限公司","Shenzhen Petrochemical Industry Group Co., Ltd.","0006","商业","H","能源、材料和机械电子设备批发业","F51","批发业","1992-03-18","1992-05-06","1992-05-06","CNY","1.8000","2.8000","CNY","23500","CNY","1991-12-11","1.000","2","D","200013","2004-09-20","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000014","沙河股份","沙河实业股份有限公司","Shahe Industrial Co., Ltd.","0003","房地产","J","房地产业","K70","房地产业","1992-04-21","1992-06-02","1992-06-02","CNY","1.3800","2.3800","CNY","11000","CNY","1991-12-19","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000015","PT 中浩A","深圳中浩(集团)股份有限公司","Shenzhen Zhonghao (Group) Co., Ltd.","0004","综合","M","综合类","S90","综合","1992-05-08","1992-06-25","1992-06-25","CNY","1.7800","2.7800","CNY","14400","CNY","1991-12-14","1.000","2","D","","2001-10-25","","4","广东省","440000","深圳市","440300","私营企业","P0306"
"10","000016","深康佳A","康佳集团股份有限公司","Konka Group Co., Ltd.","0005","工业","G","信息技术业","C39","计算机、通信和其他电子设备制造业","1980-10-01","1992-03-27","1992-03-27","CNY","2.9000","3.9000","CNY","30150","CNY","1991-12-24","1.000","2","A","200016","2021-09-13","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000017","深中华A","深圳中华自行车(集团)股份有限公司","Shenzhen China Bicycle Company (Holdings) Limited","0005","工业","C75","交通运输设备制造业","C37","铁路、船舶、航空航天和其它运输设备制造业","1992-03-12","1992-03-31","1992-03-31","CNY","2.7500","3.7500","CNY","32800","CNY","1991-12-28","1.000","2","A","200017","2021-08-27","","4","广东省","440000","深圳市","440300","中外合资","P0303"
"10","000018","神城A退","神州长城股份有限公司","Sino Great Wall Co., Ltd.","0004","综合","E05","装修装饰业","E50","建筑装饰和其他建筑业","1992-05-09","1992-06-16","1992-06-16","CNY","0.5000","1.5000","CNY","15200","CNY","1992-01-07","1.000","2","D","","2020-01-07","","4","广东省","440000","深圳市","440300","私营企业","P0306"
"10","000019","深粮控股","深圳市深粮控股股份有限公司","Shenzhen Cereals Holdings Co., Ltd.","0006","商业","H","批发和零售贸易","F51","批发业","1992-08-06","1992-10-12","1992-10-12","CNY","1.1000","2.1000","CNY","19400","CNY","1991-12-01","1.000","2","A","200019","2021-08-27","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000020","深华发A","深圳中恒华发股份有限公司","Shenzhen Zhongheng Huafa Co., Ltd.","0005","工业","G","信息技术业","C39","计算机、通信和其他电子设备制造业","1992-03-20","1992-04-28","1992-04-28","CNY","0.9000","1.9000","CNY","29630","CNY","1992-01-20","1.000","2","A","200020","2021-08-27","","4","广东省","440000","深圳市","440300","中外合资","P0303"
"10","000021","深科技","深圳长城开发科技股份有限公司","Shenzhen Kaifa Technology Co., Ltd.","0005","工业","G","信息技术业","C39","计算机、通信和其他电子设备制造业","1993-12-29","1994-02-02","1994-02-02","CNY","3.6500","4.6500","CNY","25675","CNY","1993-11-22","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000022","深赤湾A","招商局港口集团股份有限公司","China Merchants Port Group Co., Ltd.","0002","公用事业","F07","水上运输业","G55","水上运输业","1993-03-21","1993-05-05","1993-05-05","CNY","2.1000","3.1000","CNY","46000","CNY","1993-02-18","1.000","2","D","201872","2018-12-25","","4","广东省","440000","深圳市","440300","中外合资","P0303"
"10","000023","深天地A","深圳市天地(集团)股份有限公司","Shenzhen Universe (Group) Co., Ltd.","0005","工业","C61","非金属矿物制品业","C30","非金属矿物制品业","1984-09-18","1993-04-29","1993-04-29","CNY","2.1000","3.1000","CNY","25300","CNY","1993-03-01","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","私营企业","P0306"
"10","000024","招商地产","招商局地产控股股份有限公司","China Merchants Real Estate Holding Co., Ltd.","0003","房地产","J","房地产开发与经营业","K70","房地产业","1993-04-10","1993-06-07","1993-06-07","CNY","2.4000","3.4000","CNY","27000","CNY","1993-03-15","1.000","2","D","200024","2015-12-30","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000025","特力A","深圳市特力(集团)股份有限公司","Shenzhen Tellus Holding Co., Ltd.","0006","商业","H","批发和零售贸易","F51","批发业","1993-04-18","1993-06-21","1993-06-21","CNY","3.1800","4.1800","CNY","25980","CNY","1993-03-15","1.000","2","A","200025","2021-08-27","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000026","飞亚达","飞亚达精密科技股份有限公司","FIYTA Precision Technology Co., Ltd.","0006","商业","H11","零售业","F52","零售业","1993-04-18","1993-06-03","1993-06-03","CNY","2.6000","3.6000","CNY","12500","CNY","1993-03-10","1.000","2","A","200026","2021-08-27","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000027","深圳能源","深圳能源集团股份有限公司","Shenzhen Energy Corporation","0005","工业","D01","电力、蒸汽、热水的生产和供应业","D44","电力、热力生产和供应业","1993-06-02","1993-09-03","1993-09-03","CNY","2.5000","3.5000","CNY","107300","CNY","1993-04-06","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000028","国药一致","国药集团一致药业股份有限公司","China National Accord Medicines Corporation Ltd.","0006","商业","H","批发和零售贸易","F51","批发业","1993-07-03","1993-08-09","1993-08-09","CNY","2.5000","3.5000","CNY","30000","CNY","1993-05-05","1.000","2","A","200028","2021-08-27","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000029","深深房A","深圳经济特区房地产(集团)股份有限公司","Shenzhen Special Economic Zone Real Estate & Properties (Group) Co., Ltd.","0003","房地产","J","房地产业","K70","房地产业","1993-08-15","1993-09-15","1993-09-15","CNY","2.8000","3.8000","CNY","112000","CNY","1993-06-21","1.000","2","A","200029","2021-08-27","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000030","富奥股份","富奥汽车零部件股份有限公司","FAWER Automotive Parts Limited Company","0005","工业","C75","交通运输设备制造业","C36","汽车制造业","1993-08-28","1993-09-29","1993-09-29","CNY","3.5500","4.5500","CNY","43500","CNY","1993-06-28","1.000","2","A","200030","2021-08-27","","4","吉林省","220000","长春市","220100","国营或国有控股","P0301"
"10","000031","大悦城","大悦城控股集团股份有限公司","Grandjoy Holdings Group Co., Ltd.","0003","房地产","J","房地产业","K70","房地产业","1993-09-26","1993-10-08","1993-10-08","CNY","3.3800","4.3800","CNY","67000","CNY","1993-08-08","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000032","深桑达A","深圳市桑达实业股份有限公司","Shenzhen SED Industry Co., Ltd.","0003","房地产","E01","土木工程建筑业","E49","建筑安装业","1993-09-26","1993-10-28","1993-10-28","CNY","2.3600","3.3600","CNY","27500","CNY","1993-08-12","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000033","新都退","深圳新都酒店股份有限公司","Shenzhen Century Plaza Hotel Co., Ltd.","0006","商业","K32","旅馆业","H61","住宿业","1993-11-15","1994-01-03","1994-01-03","CNY","2.1500","3.1500","CNY","42000","CNY","1993-09-30","1.000","2","D","","2017-07-07","","4","广东省","440000","深圳市","440300","私营企业","P0306"
"10","000034","神州数码","神州数码集团股份有限公司","Digital China Group Co., Ltd.","0006","商业","H","批发和零售贸易","F51","批发业","1993-12-18","1994-05-09","1994-05-09","CNY","4.2000","5.2000","CNY","46800","CNY","1993-10-18","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","私营企业","P0306"
"10","000035","中国天楹","中国天楹股份有限公司","China Tianying Inc.","0002","公用事业","K99","其他社会服务业","N77","生态保护和环境治理业","1994-01-08","1994-04-08","1994-04-08","CNY","2.9000","3.9000","CNY","15000","CNY","1993-11-24","1.000","2","A","","2021-08-27","","4","江苏省","320000","南通市","320600","私营企业","P0306"
"10","000036","华联控股","华联控股股份有限公司","China Union Holdings Ltd.","0003","房地产","J","房地产业","K70","房地产业","1994-01-29","1994-06-17","1994-06-17","CNY","1.6000","2.6000","CNY","34100","CNY","1993-12-13","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","私营企业","P0306"
"10","000037","深南电A","深圳南山热电股份有限公司","Shenzhen Nanshan Power Co., Ltd.","0005","工业","D01","电力、蒸汽、热水的生产和供应业","D44","电力、热力生产和供应业","1994-04-19","1994-07-01","1994-07-01","CNY","3.6000","4.6000","CNY","40000","CNY","1994-01-03","1.000","2","A","200037","2021-08-27","","4","广东省","440000","深圳市","440300","中外合资","P0303"
"10","000038","深大通","深圳大通实业股份有限公司","Shenzhen Datong Industrial Co., Ltd.","0002","公用事业","K99","其他社会服务业","L72","商务服务业","1994-02-02","1994-08-08","1994-08-08","CNY","2.6800","3.6800","CNY","12000","CNY","1993-12-10","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","私营企业","P0306"
"10","000039","中集集团","中国国际海运集装箱(集团)股份有限公司","China International Marine Containers (Group) Co., Ltd.","0005","工业","C69","金属制品业","C33","金属制品业","1992-09-30","1994-04-08","1994-04-08","CNY","7.5000","8.5000","CNY","12000","CNY","1994-02-01","1.000","2","A","","2021-08-27","02039","4","广东省","440000","深圳市","440300","中外合资","P0303"
"10","000040","东旭蓝天","东旭蓝天新能源股份有限公司","Tunghsu Azure Renewable Energy Co., Ltd.","0005","工业","D01","电力、蒸汽、热水的生产和供应业","D44","电力、热力生产和供应业","1994-06-15","1994-08-08","1994-08-08","CNY","5.0000","6.0000","CNY","22000","CNY","1994-02-18","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","私营企业","P0306"
"10","000042","中洲控股","深圳市中洲投资控股股份有限公司","Shenzhen Centralcon Investment Holding Co., Ltd.","0003","房地产","J","房地产业","K70","房地产业","1994-09-13","1994-09-21","1994-09-21","CNY","9.8000","10.8000","CNY","16300","CNY","1994-05-26","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000043","中航善达","招商局积余产业运营服务股份有限公司","China Merchants Property Operation & Service Co., Ltd.","0003","房地产","J","房地产业","K70","房地产业","1994-09-08","1994-09-28","1994-09-28","CNY","4.5000","5.5000","CNY","20280","CNY","1994-06-06","1.000","2","D","","2019-12-13","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000045","深纺织A","深圳市纺织(集团)股份有限公司","Shenzhen Textile (Holdings) Co., Ltd.","0005","工业","G","信息技术业","C39","计算机、通信和其他电子设备制造业","1994-08-06","1994-08-15","1994-08-15","CNY","2.9000","3.9000","CNY","16800","CNY","1994-05-28","1.000","2","A","200045","2021-08-27","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000046","泛海控股","泛海控股股份有限公司","China Oceanwide Holdings Limited","0001","金融","I99","其他金融业","J69","其他金融业","1989-01-04","1994-09-12","1994-09-12","CNY","5.3000","6.3000","CNY","13000","CNY","1994-05-31","1.000","2","A","","2021-08-27","","4","北京市","110000","北京市","110000","私营企业","P0306"
"10","000047","ST 中侨","深圳市中侨发展股份有限公司","Shenzhen Overglobe Development Co., Ltd.","0003","房地产","J","房地产业","K70","房地产业","1994-09-28","1994-10-21","1994-10-21","CNY","3.0500","4.0500","CNY","16000","CNY","1994-06-20","1.000","2","D","","2003-05-30","","4","广东省","440000","深圳市","440300","私营企业","P0306"
"10","000048","京基智农","深圳市京基智农时代股份有限公司","SHENZHEN KINGKEY SMART AGRICULTURE TIMES CO.,LTD","0005","工业","C01","食品加工业","C13","农副食品加工业","1994-09-17","1994-11-01","1994-11-01","CNY","3.8000","4.8000","CNY","21800","CNY","1994-06-23","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","私营企业","P0306"
"10","000049","德赛电池","深圳市德赛电池科技股份有限公司","Shenzhen Desay Battery Technology Co., Ltd.","0005","工业","C76","电器机械及器材制造业","C38","电气机械及器材制造业","1995-02-18","1995-03-20","1995-03-20","CNY","3.9500","4.9500","CNY","14000","CNY","1995-01-10","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000050","深天马A","天马微电子股份有限公司","Tianma Micro-electronics Co., Ltd.","0005","工业","G","信息技术业","C39","计算机、通信和其他电子设备制造业","1995-02-26","1995-03-15","1995-03-15","CNY","3.5000","4.5000","CNY","11000","CNY","1995-01-16","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000055","方大集团","方大集团股份有限公司","China Fangda Group Co., Ltd.","0005","工业","C69","金属制品业","C33","金属制品业","1994-03-31","1996-04-15","1996-04-15","CNY","4.1800","5.1800","CNY","20000","CNY","1996-03-29","1.000","2","A","200055","2021-08-27","","4","广东省","440000","深圳市","440300","私营企业","P0306"
"10","000056","皇庭国际","深圳市皇庭国际企业股份有限公司","Shenzhen Wongtee International Enterprise Co., Ltd.","0002","公用事业","K99","其他社会服务业","L72","商务服务业","1993-03-18","1996-07-08","1996-07-08","CNY","3.7800","4.7800","CNY","20000","CNY","1996-06-21","1.000","2","A","200056","2021-08-27","","4","广东省","440000","深圳市","440300","中外合资","P0303"
"10","000058","深赛格","深圳赛格股份有限公司","Shenzhen SEG Co., Ltd.","0002","公用事业","K99","其他社会服务业","L72","商务服务业","1996-07-16","1996-12-26","1996-12-26","CNY","5.8000","6.8000","CNY","25000","CNY","1996-12-12","1.000","2","A","200058","2021-08-27","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000059","华锦股份","北方华锦化学工业股份有限公司","North Huajin Chemical Industries Co., Ltd.","0005","工业","C41","石油加工及炼焦业","C25","石油加工、炼焦及核燃料加工业","1997-01-18","1997-01-30","1997-01-30","CNY","4.3800","5.3800","CNY","130000","CNY","1997-01-03","1.000","2","A","","2021-08-27","","4","辽宁省","210000","盘锦市","211100","国营或国有控股","P0301"
"10","000060","中金岭南","深圳市中金岭南有色金属股份有限公司","Shenzhen Zhongjin Lingnan Nonfemet Co., Ltd.","0005","工业","C67","有色金属冶炼及压延加工业","C32","有色金属冶炼及压延加工业","1994-06-06","1997-01-23","1997-01-23","CNY","7.0000","8.0000","CNY","18000","CNY","1997-01-10","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000061","农产品","深圳市农产品集团股份有限公司","Shenzhen Agricultural Products Group Co., Ltd.","0002","公用事业","K99","其他社会服务业","L72","商务服务业","1994-01-19","1997-01-10","1997-01-10","CNY","7.3800","8.3800","CNY","19000","CNY","1996-12-26","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000062","深圳华强","深圳华强实业股份有限公司","Shenzhen Huaqiang Industry Co., Ltd.","0006","商业","H","批发和零售贸易","F51","批发业","1994-01-19","1997-01-30","1997-01-30","CNY","10.4000","11.4000","CNY","18000","CNY","1997-01-20","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","私营企业","P0306"
"10","000063","中兴通讯","中兴通讯股份有限公司","ZTE Corporation","0005","工业","G","信息技术业","C39","计算机、通信和其他电子设备制造业","1997-11-11","1997-11-18","1997-11-18","CNY","5.8100","6.8100","CNY","65000","CNY","1997-10-06","1.000","2","A","","2021-08-27","00763","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000065","北方国际","北方国际合作股份有限公司","NORINCO International Cooperation Ltd.","0003","房地产","E01","土木工程建筑业","E48","土木工程建筑业","1984-12-01","1998-06-05","1998-06-05","CNY","2.9800","3.9800","CNY","12500","CNY","1998-04-16","1.000","2","A","","2021-08-27","","4","北京市","110000","北京市","110000","国营或国有控股","P0301"
"10","000066","中国长城","中国长城科技集团股份有限公司","China Greatwall Technology Group Co., Ltd.","0005","工业","G","信息技术业","C39","计算机、通信和其他电子设备制造业","1997-06-21","1997-06-26","1997-06-26","CNY","5.5800","6.5800","CNY","57000","CNY","1997-06-10","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000068","华控赛格","深圳华控赛格股份有限公司","Shenzhen Huakong SEG Co., Ltd.","0002","公用事业","K20","专业、科研服务业","M74","专业技术服务业","1997-06-06","1997-06-11","1997-06-11","CNY","4.4500","5.4500","CNY","150000","CNY","1997-05-21","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","私营企业","P0306"
"10","000069","华侨城A","深圳华侨城股份有限公司","Shenzhen Overseas Chinese Town Co., Ltd.","0003","房地产","J","房地产业","K70","房地产业","1997-09-02","1997-09-10","1997-09-10","CNY","5.1800","6.1800","CNY","50000","CNY","1997-08-04","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000070","特发信息","深圳市特发信息股份有限公司","Shenzhen SDG Information Co., Ltd.","0005","工业","C76","电器机械及器材制造业","C38","电气机械及器材制造业","1997-07-29","2000-05-11","2000-05-11","CNY","6.9000","7.9000","CNY","70000","CNY","2000-03-24","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000078","海王生物","深圳市海王生物工程股份有限公司","Shenzhen Neptunus Bioengineering Co., Ltd.","0006","商业","H11","零售业","F52","零售业","1992-12-13","1998-12-18","1998-12-18","CNY","4.3600","5.3600","CNY","19100","CNY","1998-08-07","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","私营企业","P0306"
"10","000088","盐田港","深圳市盐田港股份有限公司","Shenzhen Yantian Port Holdings Co., Ltd.","0002","公用事业","F03","公路运输业","G54","道路运输业","1997-07-21","1997-07-28","1997-07-28","CNY","4.3100","5.3100","CNY","125000","CNY","1997-07-07","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000089","深圳机场","深圳市机场股份有限公司","Shenzhen Airport Co., Ltd.","0002","公用事业","F09","航空运输业","G56","航空运输业","1998-04-10","1998-04-20","1998-04-20","CNY","5.3800","6.3800","CNY","100000","CNY","1998-03-11","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000090","天健集团","深圳市天健(集团)股份有限公司","Shenzhen Tagen Group Co., Ltd.","0003","房地产","E01","土木工程建筑业","E48","土木工程建筑业","1993-12-06","1999-07-21","1999-07-21","CNY","7.0000","8.0000","CNY","58000","CNY","1999-07-01","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000096","广聚能源","深圳市广聚能源股份有限公司","Shenzhen Guangju Energy Co., Ltd.","0006","商业","H","批发和零售贸易","F51","批发业","1999-02-18","2000-07-24","2000-07-24","CNY","5.0000","6.0000","CNY","85000","CNY","2000-07-10","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000099","中信海直","中信海洋直升机股份有限公司","CITIC Offshore Helicopter Co., Ltd.","0002","公用事业","F09","航空运输业","G56","航空运输业","1999-02-11","2000-07-31","2000-07-31","CNY","9.2000","10.2000","CNY","60000","CNY","2000-07-03","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000100","TCL科技","TCL科技集团股份有限公司","TCL Technology Group Corporation","0005","工业","G","信息技术业","C39","计算机、通信和其他电子设备制造业","2002-04-19","2004-01-30","2004-01-30","CNY","3.2600","4.2600","CNY","994396","CNY","2004-01-07","1.000","2","A","","2021-08-27","","4","广东省","440000","惠州市","441300","国营或国有控股","P0301"
"10","000150","宜华健康","宜华健康医疗股份有限公司","Yihua Health Medical Co., Ltd.","0002","公用事业","K37","卫生、保健、护理服务业","Q83","卫生","1993-02-19","2000-08-07","2000-08-07","CNY","6.6800","7.6800","CNY","70000","CNY","2000-07-21","1.000","2","A","","2021-08-27","","4","广东省","440000","汕头市","440500","私营企业","P0306"
"10","000151","中成股份","中成进出口股份有限公司","China National Complete Plant Import & Export Corp. Ltd.","0006","商业","H","批发和零售贸易","F51","批发业","1999-03-01","2000-09-06","2000-09-06","CNY","6.7800","7.7800","CNY","70000","CNY","2000-08-14","1.000","2","A","","2021-08-27","","4","北京市","110000","北京市","110000","国营或国有控股","P0301"
"10","000153","丰原药业","安徽丰原药业股份有限公司","Anhui BBCA Pharmaceutical Co., Ltd.","0005","工业","C81","医药制造业","C27","医药制造业","1997-08-30","2000-09-20","2000-09-20","CNY","17.8000","18.8000","CNY","25000","CNY","2000-09-07","1.000","2","A","","2021-08-27","","4","安徽省","340000","芜湖市","340200","私营企业","P0306"
"10","000155","川能动力","四川省新能源动力股份有限公司","Sichuan New Energy Power Company Limited","0005","工业","D01","电力、蒸汽、热水的生产和供应业","D44","电力、热力生产和供应业","1997-10-20","2000-09-26","2000-09-26","CNY","5.1800","6.1800","CNY","130000","CNY","2000-09-08","1.000","2","A","","2021-08-27","","4","四川省","510000","成都市","510100","国营或国有控股","P0301"
"10","000156","华数传媒","华数传媒控股股份有限公司","Wasu Media Holding Co., Ltd.","0002","公用事业","L10","广播电影电视业","R86","广播、电视、电影和影视录音制作业","1994-06-30","2000-09-06","2000-09-06","CNY","7.9800","8.9800","CNY","36000","CNY","2000-08-18","1.000","2","A","","2021-08-27","","4","浙江省","330000","杭州市","330100","私营企业","P0306"
"10","000157","中联重科","中联重科股份有限公司","Zoomlion Heavy Industry Science & Technology Co., Ltd.","0005","工业","C73","专用设备制造业","C35","专用设备制造业","1999-08-01","2000-10-12","2000-10-12","CNY","11.7400","12.7400","CNY","50000","CNY","2000-09-15","1.000","2","A","","2021-08-27","01157","4","湖南省","430000","长沙市","430100","中外合资","P0303"
"10","000158","常山北明","石家庄常山北明科技股份有限公司","Shijiazhuang Changshan Beiming Technology Co., Ltd.","0002","公用事业","G87","计算机应用服务业","I65","软件和信息技术服务业","1998-12-29","2000-07-24","2000-07-24","CNY","5.1800","6.1800","CNY","100000","CNY","2000-07-06","1.000","2","A","","2021-08-27","","4","河北省","130000","石家庄市","130100","国营或国有控股","P0301"
"10","000159","国际实业","新疆国际实业股份有限公司","Xinjiang International Industry Co., Ltd.","0006","商业","H","批发和零售贸易","F51","批发业","1999-03-28","2000-09-26","2000-09-26","CNY","4.8800","5.8800","CNY","70000","CNY","2000-09-01","1.000","2","A","","2021-08-27","","4","新疆维吾尔自治区","650000","乌鲁木齐市","650100","私营企业","P0306"
"10","000166","申万宏源","申万宏源集团股份有限公司","Shenwan Hongyuan Group Co., Ltd.","0001","金融","I21","证券、期货业","J67","资本市场服务","1996-09-16","2015-01-26","2015-01-26","CNY","3.8600","4.8600","CNY","8140985","CNY","2015-01-25","1.000","2","A","","2021-08-27","06806","4","新疆维吾尔自治区","650000","乌鲁木齐市","650100","国营或国有控股","P0301"
"10","000301","东方盛虹","江苏东方盛虹股份有限公司","Jiangsu Eastern Shenghong Co., Ltd.","0005","工业","C47","化学纤维制造业","C28","化学纤维制造业","1998-07-16","2000-05-29","2000-05-29","CNY","3.1800","4.1800","CNY","105000","CNY","2000-04-24","1.000","2","A","","2021-12-23","","4","江苏省","320000","苏州市","320500","国营或国有控股","P0301"
